id_estado,estado,fecha,derhab,pob_bac,pob_edbas,pob_edsup,porc_analf,porc_sined,promedio_ed
1,Aguascalientes,2000,523201.0,54559.0,381110.0,56558.0,4.8,,8.0
1,Aguascalientes,2005,758160.0,,,,4.2,,8.7
1,Aguascalientes,2010,930149.0,101806.0,466984.0,121483.0,3.26,,9.23
1,Aguascalientes,2015,,,,,2.59156853815626,3.0784161,9.72597472304436
1,Aguascalientes,2020,1161139.0,,,,,2.31195567636663,10.3491343202918
2,Baja California,2000,1272846.0,193887.0,936739.0,144232.0,3.5,,8.2
2,Baja California,2005,1599017.0,,,,3.1,,8.9
2,Baja California,2010,2178921.0,367766.0,1235762.0,304573.0,2.57,,9.26
2,Baja California,2015,,,,,1.95240414769978,2.9613887,9.75741772139322
2,Baja California,2020,2905265.0,,,,,2.76374866522024,10.2026545439928
3,Baja California Sur,2000,249797.0,41002.0,166359.0,26822.0,4.2,,8.3
3,Baja California Sur,2005,326132.0,,,,3.6,,8.9
3,Baja California Sur,2010,481387.0,81595.0,234542.0,70311.0,3.21,,9.4
3,Baja California Sur,2015,,,,,2.4873429966497,3.2629496,9.905535230784391
3,Baja California Sur,2020,664122.0,,,,,2.94083192759793,10.3425484887369
4,Campeche,2000,265189.0,37327.0,271727.0,35645.0,11.8,,7.0
4,Campeche,2005,439987.0,,,,10.2,,7.9
4,Campeche,2010,631406.0,72279.0,324014.0,82354.0,8.31,,8.51
4,Campeche,2015,,,,,6.6499096404884,7.592951,9.13845446041069
4,Campeche,2020,719677.0,,,,,6.60530550508016,9.62513019267048
5,Coahuila de Zaragoza,2000,1601684.0,125863.0,950803.0,165613.0,3.9,,8.4
5,Coahuila de Zaragoza,2005,1721774.0,,,,3.3,,9.0
5,Coahuila de Zaragoza,2010,2103178.0,219124.0,1089165.0,306864.0,2.63,,9.47
5,Coahuila de Zaragoza,2015,,,,,1.96933033268193,2.5120344,9.897388248825
5,Coahuila de Zaragoza,2020,2540708.0,,,,,1.92955932051191,10.4319955651311
6,Colima,2000,247626.0,30898.0,213005.0,30790.0,7.2,,7.7
6,Colima,2005,397103.0,,,,6.4,,8.4
6,Colima,2010,528711.0,60060.0,256926.0,69227.0,5.13,,8.95
6,Colima,2015,,,,,3.88011671880284,4.670663,9.52872041908884
6,Colima,2020,605947.0,,,,,3.99678574510312,10.0467299821295
7,Chiapas,2000,689971.0,134683.0,1384693.0,103352.0,22.9,,5.4
7,Chiapas,2005,861443.0,,,,21.4,,6.1
7,Chiapas,2010,2723529.0,288346.0,1848927.0,239023.0,17.8,,6.67
7,Chiapas,2015,,,,,14.8399938877011,14.553113,7.288581208206351
7,Chiapas,2020,3698663.0,,,,,13.2926115644057,7.783218297396861
8,Chihuahua,2000,1716041.0,305241.0,1325353.0,168629.0,4.8,,7.7
8,Chihuahua,2005,1891460.0,,,,4.4,,8.3
8,Chihuahua,2010,2489301.0,524060.0,1379377.0,292920.0,3.66,,8.82
8,Chihuahua,2015,,,,,2.6029454248522,3.5781252,9.46659055864783
8,Chihuahua,2020,3156294.0,,,,,3.06750905384742,9.99694205883146
9,Ciudad de México,2000,4413972.0,866241.0,3162237.0,1052535.0,2.9,,9.6
9,Ciudad de México,2005,4675210.0,,,,2.6,,10.2
9,Ciudad de México,2010,5644901.0,1143966.0,2937137.0,1628840.0,2.09,,10.54
9,Ciudad de México,2015,,,,,1.4750654945632,2.020905,11.1195871123974
9,Ciudad de México,2020,6689012.0,,,,,2.00791118171538,11.4820394079325
10,Durango,2000,708077.0,328945.0,628161.0,68957.0,5.4,,7.3
10,Durango,2005,756419.0,,,,4.8,,8.0
10,Durango,2010,1113493.0,644247.0,692776.0,127530.0,3.82,,8.58
10,Durango,2015,,,,,3.153828003284,3.3599674,9.14760965873131
10,Durango,2020,1366665.0,,,,,2.85168949452367,9.74606943077146
11,Guanajuato,2000,1580027.0,187456.0,1934629.0,152197.0,12.0,,6.4
11,Guanajuato,2005,2422288.0,,,,10.4,,7.2
11,Guanajuato,2010,3822471.0,388626.0,2372907.0,349057.0,8.18,,7.73
11,Guanajuato,2015,,,,,6.34906629963758,7.7498753,8.38185068146182
11,Guanajuato,2020,4874661.0,,,,,6.328076716351791,9.04378669807942
12,Guerrero,2000,626078.0,148445.0,1040215.0,115151.0,21.6,,6.1
12,Guerrero,2005,738033.0,,,,19.9,,6.8
12,Guerrero,2010,1807297.0,267472.0,1249729.0,214314.0,16.68,,7.27
12,Guerrero,2015,,,,,13.6134855448772,13.248398,7.8027074220338095
12,Guerrero,2020,2632004.0,,,,,11.6140242852447,8.37269861691862
13,Hidalgo,2000,651325.0,101483.0,915008.0,82149.0,14.9,,6.7
13,Hidalgo,2005,849191.0,,,,12.8,,7.4
13,Hidalgo,2010,1739207.0,210532.0,1104715.0,185201.0,10.23,,8.1
13,Hidalgo,2015,,,,,8.19686288324147,6.7220306,8.715456677952929
13,Hidalgo,2020,2149373.0,,,,,6.06279911389523,9.37075890511716
14,Jalisco,2000,2798272.0,339550.0,2676127.0,366458.0,6.5,,7.5
14,Jalisco,2005,3461514.0,,,,5.6,,8.2
14,Jalisco,2010,4709272.0,635897.0,3009017.0,728641.0,4.36,,8.78
14,Jalisco,2015,,,,,3.52446843448046,4.349174,9.24986079597544
14,Jalisco,2020,5835710.0,,,,,3.41912166599307,9.89735341720182
15,México,2000,5196837.0,844204.0,5161504.0,688839.0,6.4,,8.0
15,México,2005,5936128.0,,,,5.3,,8.7
15,México,2010,8811664.0,1565560.0,5971664.0,1404965.0,4.38,,9.1
15,México,2015,,,,,3.33707124315867,3.9955297,9.528067379259369
15,México,2020,11267677.0,,,,,3.36480973126989,10.0823980468445
16,Michoacán de Ocampo,2000,1045874.0,153818.0,1600099.0,145056.0,13.9,,6.2
16,Michoacán de Ocampo,2005,1084374.0,,,,12.6,,6.9
16,Michoacán de Ocampo,2010,2359537.0,286267.0,1864274.0,282413.0,10.18,,7.42
16,Michoacán de Ocampo,2015,,,,,8.27452839551084,9.1406332,7.92616695604693
16,Michoacán de Ocampo,2020,2954556.0,,,,,7.5811316069198895,8.595490157519249
17,Morelos,2000,531770.0,98077.0,592193.0,90199.0,9.2,,7.7
17,Morelos,2005,661544.0,,,,8.1,,8.4
17,Morelos,2010,1122320.0,173718.0,695787.0,176980.0,6.42,,8.9
17,Morelos,2015,,,,,4.95519569719918,5.8279617,9.303000614025539
17,Morelos,2020,1416884.0,,,,,4.95938472231746,9.84478155712582
18,Nayarit,2000,373087.0,47054.0,376751.0,47960.0,9.0,,7.3
18,Nayarit,2005,565790.0,,,,8.0,,8.0
18,Nayarit,2010,827831.0,94555.0,434999.0,99384.0,6.31,,8.61
18,Nayarit,2015,,,,,5.03596014718021,5.5466144,9.15892146940172
18,Nayarit,2020,960563.0,,,,,4.71369588558905,9.72952373557258
19,Nuevo León,2000,2528052.0,216659.0,1532928.0,332875.0,3.3,,8.8
19,Nuevo León,2005,2904194.0,,,,2.8,,9.5
19,Nuevo León,2010,3589417.0,362736.0,1767665.0,612798.0,2.2,,9.81
19,Nuevo León,2015,,,,,1.62629068698064,2.1501193,10.2749558573754
19,Nuevo León,2020,4681465.0,,,,,1.77959990531059,10.7409594523138
20,Oaxaca,2000,778654.0,117428.0,1341387.0,98412.0,21.5,,5.6
20,Oaxaca,2005,788688.0,,,,19.3,,6.4
20,Oaxaca,2010,2129000.0,251453.0,1599084.0,208469.0,16.27,,6.94
20,Oaxaca,2015,,,,,13.3076061915446,11.841796,7.51576301956816
20,Oaxaca,2020,2904703.0,,,,,10.1986500373347,8.118535997285969
21,Puebla,2000,1266386.0,205559.0,1969105.0,223198.0,14.6,,6.7
21,Puebla,2005,1831171.0,,,,12.7,,7.4
21,Puebla,2010,2858894.0,402468.0,2335417.0,450099.0,10.38,,7.95
21,Puebla,2015,,,,,8.31676746391996,7.922956,8.49385434412069
21,Puebla,2020,4650982.0,,,,,6.42806410719583,9.160472082237021
22,Querétaro,2000,637813.0,73967.0,536649.0,79243.0,9.8,,7.6
22,Querétaro,2005,808068.0,,,,8.1,,8.3
22,Querétaro,2010,1351726.0,151806.0,708103.0,195584.0,6.31,,8.92
22,Querétaro,2015,,,,,4.53571775762054,5.6315096,9.55326026787634
22,Querétaro,2020,1873160.0,,,,,4.08181398958486,10.4845990231161
23,Quintana Roo,2000,404334.0,67622.0,348992.0,47603.0,7.5,,7.8
23,Quintana Roo,2005,522673.0,,,,6.6,,8.5
23,Quintana Roo,2010,896408.0,159820.0,506348.0,126262.0,4.77,,9.12
23,Quintana Roo,2015,,,,,3.87161810136706,4.4866338,9.615036243576009
23,Quintana Roo,2020,1365328.0,,,,,3.59403666233438,10.2392894887778
24,San Luis Potosí,2000,859833.0,91971.0,938303.0,104697.0,11.3,,6.9
24,San Luis Potosí,2005,1204459.0,,,,9.9,,7.7
24,San Luis Potosí,2010,1887156.0,187998.0,1059311.0,213613.0,7.91,,8.26
24,San Luis Potosí,2015,,,,,6.28018527625369,6.4945043,8.81999521036877
24,San Luis Potosí,2020,2327452.0,,,,,5.00798758283088,9.61312740129257
25,Sinaloa,2000,1345548.0,175924.0,981236.0,159554.0,8.0,,7.6
25,Sinaloa,2005,1656214.0,,,,6.4,,8.5
25,Sinaloa,2010,2074048.0,297090.0,1027133.0,315477.0,4.97,,9.08
25,Sinaloa,2015,,,,,4.15694135121915,4.7082129,9.58132525939067
25,Sinaloa,2020,2447515.0,,,,,3.81471006851306,10.2235084210957
26,Sonora,2000,1250610.0,163073.0,909292.0,140828.0,4.4,,8.2
26,Sonora,2005,1595337.0,,,,3.7,,8.9
26,Sonora,2010,1970349.0,280333.0,1018180.0,279500.0,3.04,,9.42
26,Sonora,2015,,,,,2.16904389627038,2.7184899,10.0014293654817
26,Sonora,2020,2391479.0,,,,,2.30792672481413,10.4031969176912
27,Tabasco,2000,555359.0,108224.0,792805.0,87567.0,9.7,,7.2
27,Tabasco,2005,1310978.0,,,,8.6,,8.0
27,Tabasco,2010,1645246.0,222840.0,892627.0,191916.0,7.06,,8.64
27,Tabasco,2015,,,,,5.356582134415031,4.8404588,9.31176893327734
27,Tabasco,2020,1645089.0,,,,,4.52339669204486,9.69339567490985
28,Tamaulipas,2000,1409261.0,194798.0,1146684.0,189793.0,5.1,,8.0
28,Tamaulipas,2005,1958143.0,,,,4.5,,8.7
28,Tamaulipas,2010,2397748.0,330825.0,1247121.0,332134.0,3.61,,9.12
28,Tamaulipas,2015,,,,,3.00463651565029,3.7171713,9.50851208682107
28,Tamaulipas,2020,2803407.0,,,,,3.07057720981051,10.0922087841223
29,Tlaxcala,2000,287095.0,54481.0,408790.0,43624.0,7.8,,7.6
29,Tlaxcala,2005,373001.0,,,,6.7,,8.3
29,Tlaxcala,2010,720545.0,102983.0,487736.0,94736.0,5.19,,8.78
29,Tlaxcala,2015,,,,,3.94859558387132,4.1273064,9.27411156289314
29,Tlaxcala,2020,964599.0,,,,,3.32489508651769,9.833169621872809
30,Veracruz,2000,2120484.0,349673.0,2817453.0,310812.0,14.9,,6.4
30,Veracruz,2005,2815293.0,,,,13.4,,7.2
30,Veracruz,2010,4484837.0,654188.0,3152975.0,610339.0,11.44,,7.67
30,Veracruz,2015,,,,,9.44245203322419,9.208027,8.203437948035889
30,Veracruz,2020,5825533.0,,,,,8.218466217769619,8.74562905823893
31,Yucatán,2000,747250.0,81136.0,703715.0,77613.0,12.3,,6.8
31,Yucatán,2005,961210.0,,,,10.9,,7.6
31,Yucatán,2010,1464077.0,161246.0,825016.0,173757.0,9.23,,8.22
31,Yucatán,2015,,,,,7.41280706280645,6.6650024,8.82107732936428
31,Yucatán,2020,1810121.0,,,,,5.29329717295537,9.59471829566621
