año,valor,entidad,clave
2011,71943.22561188857,Nacional,00
2012,68777.40363710497,Nacional,00
2013,74716.10250317474,Nacional,00
2014,76267.50160090115,Nacional,00
2015,76163.56908087688,Nacional,00
2016,75261.59606505101,Nacional,00
2017,76935.36208625563,Nacional,00
2018,82101.8358034844,Nacional,00
2019,82042.4365829084,Nacional,00
2020,81735.0646410916,Nacional,00
2021,78792.13296288621,Nacional,00
2022,79410.5755470883,Nacional,00
2023,78604.8560137268,Nacional,00
2024,77294.4142834821,Nacional,00
2025,79426.70708618221,Nacional,00
2011,63757.77760002713,Aguascalientes,01
2012,51310.568629488625,Aguascalientes,01
2013,53789.66680696009,Aguascalientes,01
2014,52735.53778916822,Aguascalientes,01
2015,47259.88441026045,Aguascalientes,01
2016,48935.7174680649,Aguascalientes,01
2017,48276.509628215674,Aguascalientes,01
2018,65276.4411560077,Aguascalientes,01
2019,62736.0841308748,Aguascalientes,01
2020,60479.21095536849,Aguascalientes,01
2021,58563.2710320473,Aguascalientes,01
2022,57843.5045011926,Aguascalientes,01
2023,55205.9368410572,Aguascalientes,01
2024,54861.0831223222,Aguascalientes,01
2025,53481.0640200842,Aguascalientes,01
2011,62539.73749497841,Baja California,02
2012,52909.89077378536,Baja California,02
2013,53717.285345586,Baja California,02
2014,56558.36025522889,Baja California,02
2015,59377.108004990274,Baja California,02
2016,62824.320844096495,Baja California,02
2017,61638.31644600797,Baja California,02
2018,77370.8305577576,Baja California,02
2019,71983.498563491,Baja California,02
2020,71782.3900023335,Baja California,02
2021,72850.8874993552,Baja California,02
2022,81487.02018129459,Baja California,02
2023,72410.4014683651,Baja California,02
2024,76735.8186665563,Baja California,02
2025,77281.02867154671,Baja California,02
2011,42125.881669950315,Baja California Sur,03
2012,28538.565356646457,Baja California Sur,03
2013,33480.08377118452,Baja California Sur,03
2014,44790.21393720528,Baja California Sur,03
2015,67127.36384636468,Baja California Sur,03
2016,48329.95836272209,Baja California Sur,03
2017,63731.02265547432,Baja California Sur,03
2018,71038.90571594369,Baja California Sur,03
2019,52870.270497429505,Baja California Sur,03
2020,40163.47469220249,Baja California Sur,03
2021,41313.2180637328,Baja California Sur,03
2022,40967.7920755079,Baja California Sur,03
2023,36258.8706253412,Baja California Sur,03
2024,36465.821064827505,Baja California Sur,03
2025,41077.183907048304,Baja California Sur,03
2011,55536.032888533104,Campeche,04
2012,48057.67312043926,Campeche,04
2013,63330.083276057725,Campeche,04
2014,63463.332473677,Campeche,04
2015,58906.73591741208,Campeche,04
2016,58190.28324556471,Campeche,04
2017,63293.38241328685,Campeche,04
2018,61917.5206474602,Campeche,04
2019,66820.09187438809,Campeche,04
2020,59817.6465838099,Campeche,04
2021,58458.3697565532,Campeche,04
2022,60285.42614232231,Campeche,04
2023,66806.72148320351,Campeche,04
2024,69509.47056234711,Campeche,04
2025,75042.0919276732,Campeche,04
2011,70001.70909129753,Coahuila,05
2012,76586.43397057184,Coahuila,05
2013,83628.1946506747,Coahuila,05
2014,82680.67668629295,Coahuila,05
2015,77653.55429417996,Coahuila,05
2016,63051.998252828496,Coahuila,05
2017,60781.41826379775,Coahuila,05
2018,70089.8126012326,Coahuila,05
2019,62536.492664329104,Coahuila,05
2020,57748.0171803422,Coahuila,05
2021,58585.260330188,Coahuila,05
2022,57182.0036811187,Coahuila,05
2023,51489.5873545102,Coahuila,05
2024,45323.877339614,Coahuila,05
2025,44550.1842820446,Coahuila,05
2011,69672.50317503279,Colima,06
2012,75531.19696515924,Colima,06
2013,74855.53826107277,Colima,06
2014,60387.03863570964,Colima,06
2015,62439.78314381069,Colima,06
2016,75115.2496250032,Colima,06
2017,78575.74333847911,Colima,06
2018,83870.07258233089,Colima,06
2019,81685.97607015299,Colima,06
2020,77513.69612856099,Colima,06
2021,77196.97682668151,Colima,06
2022,88269.4874578991,Colima,06
2023,84034.4126197656,Colima,06
2024,82576.14778517139,Colima,06
2025,85994.572152874,Colima,06
2011,40695.711039870526,Chiapas,07
2012,42420.171718658734,Chiapas,07
2013,53714.98656726681,Chiapas,07
2014,65264.35913816133,Chiapas,07
2015,57162.25504165758,Chiapas,07
2016,59840.5052521744,Chiapas,07
2017,64155.85898139414,Chiapas,07
2018,72795.64629434391,Chiapas,07
2019,71102.1263770131,Chiapas,07
2020,72225.9535063343,Chiapas,07
2021,69919.62711010329,Chiapas,07
2022,74189.4962407404,Chiapas,07
2023,69093.61267830849,Chiapas,07
2024,78012.2179368731,Chiapas,07
2025,78146.9326365089,Chiapas,07
2011,90364.66682937178,Chihuahua,08
2012,85209.69360592839,Chihuahua,08
2013,79888.63476629999,Chihuahua,08
2014,77930.60775765624,Chihuahua,08
2015,74942.26017619934,Chihuahua,08
2016,65941.5833058881,Chihuahua,08
2017,77323.89418496026,Chihuahua,08
2018,82422.2145485288,Chihuahua,08
2019,85339.6553942038,Chihuahua,08
2020,79282.554532974,Chihuahua,08
2021,76497.756405776,Chihuahua,08
2022,74758.2148912836,Chihuahua,08
2023,82541.0322654351,Chihuahua,08
2024,70315.7779832099,Chihuahua,08
2025,75693.5232311325,Chihuahua,08
2011,75066.33554222867,Ciudad de México,09
2012,70883.25529006208,Ciudad de México,09
2013,72614.00667179633,Ciudad de México,09
2014,78750.308830954,Ciudad de México,09
2015,81369.88460632194,Ciudad de México,09
2016,85734.3187775165,Ciudad de México,09
2017,86177.01118312338,Ciudad de México,09
2018,89597.21076953471,Ciudad de México,09
2019,89862.5289262661,Ciudad de México,09
2020,87086.9534714555,Ciudad de México,09
2021,86638.7375497154,Ciudad de México,09
2022,85745.1229482422,Ciudad de México,09
2023,83765.94965378569,Ciudad de México,09
2024,78705.6972346688,Ciudad de México,09
2025,77903.0526540889,Ciudad de México,09
2011,89924.94609765195,Durango,10
2012,83923.42790557614,Durango,10
2013,78618.92297169313,Durango,10
2014,77590.93387335462,Durango,10
2015,72065.13741439395,Durango,10
2016,62895.8701140132,Durango,10
2017,60432.575814706855,Durango,10
2018,65301.1890134644,Durango,10
2019,70033.0275342578,Durango,10
2020,60133.1002492384,Durango,10
2021,65578.5353972076,Durango,10
2022,60908.8151939366,Durango,10
2023,57461.1552108657,Durango,10
2024,51365.4237014112,Durango,10
2025,58297.9237796179,Durango,10
2011,59573.85078942634,Guanajuato,11
2012,55494.88823677095,Guanajuato,11
2013,64144.29700889335,Guanajuato,11
2014,70619.9447938629,Guanajuato,11
2015,70040.69750022472,Guanajuato,11
2016,65220.20817207231,Guanajuato,11
2017,76643.75878000172,Guanajuato,11
2018,84535.5873413971,Guanajuato,11
2019,90746.90280932249,Guanajuato,11
2020,87087.6428358093,Guanajuato,11
2021,86717.66236719431,Guanajuato,11
2022,88716.37204711139,Guanajuato,11
2023,85507.1334061668,Guanajuato,11
2024,89473.6987658691,Guanajuato,11
2025,90064.25975377689,Guanajuato,11
2011,72066.53789819925,Guerrero,12
2012,73369.19682969789,Guerrero,12
2013,86643.75575638718,Guerrero,12
2014,79612.9708965109,Guerrero,12
2015,86173.71631022889,Guerrero,12
2016,85592.58917103981,Guerrero,12
2017,84013.17922805049,Guerrero,12
2018,85159.5898507467,Guerrero,12
2019,85401.0380396517,Guerrero,12
2020,91795.3107106262,Guerrero,12
