State ID,State,Quarter ID,Quarter,Workforce
1,Aguascalientes,20101,2010-Q1,483288
1,Aguascalientes,20102,2010-Q2,502204
1,Aguascalientes,20103,2010-Q3,504363
1,Aguascalientes,20104,2010-Q4,491955
1,Aguascalientes,20111,2011-Q1,485158
1,Aguascalientes,20112,2011-Q2,490664
1,Aguascalientes,20113,2011-Q3,502177
1,Aguascalientes,20114,2011-Q4,515998
1,Aguascalientes,20121,2012-Q1,498403
1,Aguascalientes,20122,2012-Q2,520382
1,Aguascalientes,20123,2012-Q3,522347
1,Aguascalientes,20124,2012-Q4,520994
1,Aguascalientes,20131,2013-Q1,515865
1,Aguascalientes,20132,2013-Q2,524553
1,Aguascalientes,20133,2013-Q3,529329
1,Aguascalientes,20134,2013-Q4,539578
1,Aguascalientes,20141,2014-Q1,527149
1,Aguascalientes,20142,2014-Q2,534202
1,Aguascalientes,20143,2014-Q3,541276
1,Aguascalientes,20144,2014-Q4,536639
1,Aguascalientes,20151,2015-Q1,530762
1,Aguascalientes,20152,2015-Q2,541469
1,Aguascalientes,20153,2015-Q3,551461
1,Aguascalientes,20154,2015-Q4,548262
1,Aguascalientes,20161,2016-Q1,551850
1,Aguascalientes,20162,2016-Q2,567279
1,Aguascalientes,20163,2016-Q3,572853
1,Aguascalientes,20164,2016-Q4,566914
1,Aguascalientes,20171,2017-Q1,560467
1,Aguascalientes,20172,2017-Q2,574193
1,Aguascalientes,20173,2017-Q3,562451
1,Aguascalientes,20174,2017-Q4,568031
1,Aguascalientes,20181,2018-Q1,569490
1,Aguascalientes,20182,2018-Q2,580554
1,Aguascalientes,20183,2018-Q3,583471
1,Aguascalientes,20184,2018-Q4,584160
1,Aguascalientes,20191,2019-Q1,581661
1,Aguascalientes,20192,2019-Q2,588764
1,Aguascalientes,20193,2019-Q3,581680
1,Aguascalientes,20194,2019-Q4,605419
1,Aguascalientes,20201,2020-Q1,603802
1,Aguascalientes,20203,2020-Q3,585389
1,Aguascalientes,20204,2020-Q4,591245
1,Aguascalientes,20211,2021-Q1,618289
1,Aguascalientes,20212,2021-Q2,631864
1,Aguascalientes,20213,2021-Q3,650144
1,Aguascalientes,20214,2021-Q4,659568
