State,Quarter,Remittance Amount
Aguascalientes,2013-Q1,70935871
Aguascalientes,2013-Q2,84477649
Aguascalientes,2013-Q3,80581209
Aguascalientes,2013-Q4,80801368
Aguascalientes,2014-Q1,79194217
Aguascalientes,2014-Q2,86552640
Aguascalientes,2014-Q3,83263578
Aguascalientes,2014-Q4,85529141
Aguascalientes,2015-Q1,82780589
Aguascalientes,2015-Q2,90215377
Aguascalientes,2015-Q3,94603534
Aguascalientes,2015-Q4,89495692
Aguascalientes,2016-Q1,91911207
Aguascalientes,2016-Q2,102595278
Aguascalientes,2016-Q3,106148114
Aguascalientes,2016-Q4,105047880
Aguascalientes,2017-Q1,102456887
Aguascalientes,2017-Q2,112822084
Aguascalientes,2017-Q3,114073725
Aguascalientes,2017-Q4,115364536
Aguascalientes,2018-Q1,104536566
Aguascalientes,2018-Q2,130130627
Aguascalientes,2018-Q3,122582918
Aguascalientes,2018-Q4,128919413
Aguascalientes,2019-Q1,112806645
Aguascalientes,2019-Q2,132508135
Aguascalientes,2019-Q3,140864753
Aguascalientes,2019-Q4,131414559
Aguascalientes,2020-Q1,131517236
Aguascalientes,2020-Q2,139349797
Aguascalientes,2020-Q3,139020514
Aguascalientes,2020-Q4,146744625
Aguascalientes,2021-Q1,144694770
Aguascalientes,2021-Q2,184070740
Aguascalientes,2021-Q3,186543672
Aguascalientes,2021-Q4,195681652
Aguascalientes,2022-Q1,175249627
Aguascalientes,2022-Q2,219362254
Aguascalientes,2022-Q3,232453556
Aguascalientes,2022-Q4,233098011
Aguascalientes,2023-Q1,209204458
Aguascalientes,2023-Q2,246882496
Aguascalientes,2023-Q3,246610947
Aguascalientes,2023-Q4,236176085
Aguascalientes,2024-Q1,204737518
Aguascalientes,2024-Q2,252712659
Aguascalientes,2024-Q3,256627249
Aguascalientes,2024-Q4,244101596
Aguascalientes,2025-Q1,216615051
Aguascalientes,2025-Q2,236207949
Baja California,2013-Q1,142221246
Baja California,2013-Q2,164270856
Baja California,2013-Q3,163975015
Baja California,2013-Q4,156201742
Baja California,2014-Q1,149441376
Baja California,2014-Q2,160027234
Baja California,2014-Q3,161000839
Baja California,2014-Q4,159429414
Baja California,2015-Q1,154719725
Baja California,2015-Q2,173437384
Baja California,2015-Q3,179236933
Baja California,2015-Q4,166083550
Baja California,2016-Q1,166873518
Baja California,2016-Q2,177695751
Baja California,2016-Q3,172099173
Baja California,2016-Q4,166893081
Baja California,2017-Q1,169119780
Baja California,2017-Q2,193512158
Baja California,2017-Q3,202181808
Baja California,2017-Q4,199822471
Baja California,2018-Q1,187659185
Baja California,2018-Q2,231235079
Baja California,2018-Q3,225096392
Baja California,2018-Q4,231127239
Baja California,2019-Q1,206565932
Baja California,2019-Q2,239604254
Baja California,2019-Q3,253756901
Baja California,2019-Q4,236067859
Baja California,2020-Q1,257224590
Baja California,2020-Q2,338111357
Baja California,2020-Q3,315498524
Baja California,2020-Q4,304751555
Baja California,2021-Q1,303932482
Baja California,2021-Q2,355913112
Baja California,2021-Q3,362158323
Baja California,2021-Q4,353938235
Baja California,2022-Q1,309260617
Baja California,2022-Q2,354929024
Baja California,2022-Q3,364657126
Baja California,2022-Q4,361941624
Baja California,2023-Q1,332869712
Baja California,2023-Q2,366903315
Baja California,2023-Q3,384958170
Baja California,2023-Q4,362595252
Baja California,2024-Q1,318670700
Baja California,2024-Q2,376692648
Baja California,2024-Q3,374184977
Baja California,2024-Q4,377585242
Baja California,2025-Q1,340163344
Baja California,2025-Q2,472009694
Baja California Sur,2013-Q1,10169926
Baja California Sur,2013-Q2,11503654
Baja California Sur,2013-Q3,10996836
Baja California Sur,2013-Q4,14761132
Baja California Sur,2014-Q1,10452927
Baja California Sur,2014-Q2,11849958
Baja California Sur,2014-Q3,12538076
Baja California Sur,2014-Q4,13224541
Baja California Sur,2015-Q1,11853520
Baja California Sur,2015-Q2,13197655
Baja California Sur,2015-Q3,13758128
Baja California Sur,2015-Q4,13558556
Baja California Sur,2016-Q1,13227017
