Entidad federativa,Unnamed: 1,Población de 15 años y más,Analfabetas,Lugar,%,Lugar.1,Sin primaria terminada,Lugar.2,%.1,Lugar.3,Sin secundaria terminada,Lugar.4,%.2,Lugar.5,Rezago total,Lugar.6,%.3,Lugar.7,Año
1,Aguascalientes,1041764.0,22065.0,30.0,2.1180420901470964,27.0,69670.0,28.0,6.68769510176969,26.0,157318.0,28.0,15.10111695163204,22.0,249053.0,29.0,23.906854143548827,26.0,2019
2,Baja California,2896404.0,52779.0,21.0,1.822225076336036,29.0,199512.0,15.0,6.888265587259236,24.0,464047.0,13.0,16.02148733394927,13.0,716338.0,13.0,24.731977997544544,24.0,2019
3,Baja California Sur,602639.0,14047.0,32.0,2.3309145276027605,26.0,42528.0,32.0,7.056961132618367,23.0,89170.0,31.0,14.796586347713973,24.0,145745.0,32.0,24.1844620079351,25.0,2019
4,Campeche,690317.0,40543.0,26.0,5.8730988806591755,9.0,66569.0,29.0,9.643250854317655,13.0,99723.0,30.0,14.445971923044052,28.0,206835.0,30.0,29.962321658020883,11.0,2019
5,Coahuila de Zaragoza,2326265.0,39349.0,27.0,1.691509780699963,30.0,127339.0,22.0,5.473967927127821,30.0,350332.0,17.0,15.0598491573402,23.0,517020.0,19.0,22.225326865167983,30.0,2019
6,Colima,560968.0,18952.0,31.0,3.3784458293521196,18.0,49572.0,31.0,8.836867700118367,16.0,88709.0,32.0,15.81355799261277,14.0,157233.0,31.0,28.028871522083257,18.0,2019
7,Chiapas,3784323.0,520490.0,2.0,13.753847121400579,1.0,514623.0,4.0,13.598812786329283,2.0,786274.0,7.0,20.777137680900918,2.0,1821387.0,4.0,48.12979758863078,1.0,2019
8,Chihuahua,2810358.0,73849.0,16.0,2.6277435116807184,24.0,209270.0,14.0,7.4463822758524,21.0,499209.0,11.0,17.763181772571322,9.0,782328.0,12.0,27.837307560104442,19.0,2019
9,Ciudad de México,7605589.0,108642.0,11.0,1.4284495257369285,32.0,335640.0,9.0,4.413070440698282,32.0,927538.0,5.0,12.195478877441312,32.0,1371820.0,8.0,18.03699884387652,32.0,2019
10,Durango,1323834.0,36463.0,28.0,2.7543483548541583,23.0,112898.0,24.0,8.52810850907289,17.0,221834.0,24.0,16.756934781853314,12.0,371195.0,25.0,28.039391645780363,17.0,2019
