State ID,State,Quarter ID,Quarter,Monthly Wage,Workforce
1,Aguascalientes,20101,2010-Q1,3489.895832122564,447374
1,Aguascalientes,20102,2010-Q2,3248.4399514888455,469995
1,Aguascalientes,20103,2010-Q3,3185.0299909298205,471876
1,Aguascalientes,20104,2010-Q4,3181.3475999012835,457877
1,Aguascalientes,20111,2011-Q1,3283.794297347874,455823
1,Aguascalientes,20112,2011-Q2,3127.895779783025,460237
1,Aguascalientes,20113,2011-Q3,3118.15689667135,461208
1,Aguascalientes,20114,2011-Q4,2851.1245500657833,483404
1,Aguascalientes,20121,2012-Q1,3379.5874940397694,465586
1,Aguascalientes,20122,2012-Q2,3324.105965812734,489422
1,Aguascalientes,20123,2012-Q3,3236.6626785805465,489625
1,Aguascalientes,20124,2012-Q4,3530.690844784245,489699
1,Aguascalientes,20131,2013-Q1,3365.8731649847628,484669
1,Aguascalientes,20132,2013-Q2,3342.3734159104324,499735
1,Aguascalientes,20133,2013-Q3,3137.043210247534,499164
1,Aguascalientes,20134,2013-Q4,3498.0637706783646,507898
1,Aguascalientes,20141,2014-Q1,3425.7354986847386,493438
1,Aguascalientes,20142,2014-Q2,3441.1606714056265,503064
1,Aguascalientes,20143,2014-Q3,3341.624649175365,507376
1,Aguascalientes,20144,2014-Q4,3282.58008205658,507211
1,Aguascalientes,20151,2015-Q1,3319.81858759827,506768
1,Aguascalientes,20152,2015-Q2,3431.651854887346,517336
1,Aguascalientes,20153,2015-Q3,3432.655191762651,523955
1,Aguascalientes,20154,2015-Q4,3582.14379577031,525996
1,Aguascalientes,20161,2016-Q1,3514.8506133001206,529920
1,Aguascalientes,20162,2016-Q2,3535.538400471909,544173
1,Aguascalientes,20163,2016-Q3,3499.7838712198454,550209
1,Aguascalientes,20164,2016-Q4,3648.030506259647,544839
1,Aguascalientes,20171,2017-Q1,3618.803002760012,541302
1,Aguascalientes,20172,2017-Q2,3620.2794228812327,550320
1,Aguascalientes,20173,2017-Q3,3393.5017193505087,543810
1,Aguascalientes,20174,2017-Q4,3440.6242872911216,547208
1,Aguascalientes,20181,2018-Q1,3538.5100994446125,548446
1,Aguascalientes,20182,2018-Q2,3768.8218237728647,561287
1,Aguascalientes,20183,2018-Q3,3578.798426045671,562151
1,Aguascalientes,20184,2018-Q4,3715.0013632505834,565560
1,Aguascalientes,20191,2019-Q1,3964.2159683094524,562439
1,Aguascalientes,20192,2019-Q2,3737.945152136686,567023
1,Aguascalientes,20193,2019-Q3,3842.2898787421777,559634
1,Aguascalientes,20194,2019-Q4,3974.127239346863,584992
1,Aguascalientes,20201,2020-Q1,4443.1708624405155,583762
1,Aguascalientes,20203,2020-Q3,4599.911246218135,554951
1,Aguascalientes,20204,2020-Q4,4688.060807833188,560487
1,Aguascalientes,20211,2021-Q1,5101.041618279823,595892
1,Aguascalientes,20212,2021-Q2,4460.317743961567,607401
1,Aguascalientes,20213,2021-Q3,4726.886919218798,620070
1,Aguascalientes,20214,2021-Q4,4468.219958236681,630697
1,Aguascalientes,20221,2022-Q1,4751.324425599211,624738
1,Aguascalientes,20222,2022-Q2,4955.926200394019,625857
1,Aguascalientes,20223,2022-Q3,4046.956395426192,638855
1,Aguascalientes,20224,2022-Q4,4281.637707606589,638407
1,Aguascalientes,20231,2023-Q1,4850.54175906767,646638
1,Aguascalientes,20232,2023-Q2,4520.485013448765,637605
1,Aguascalientes,20233,2023-Q3,4379.84899985886,666006
1,Aguascalientes,20234,2023-Q4,4420.75570614079,639136
1,Aguascalientes,20241,2024-Q1,5330.068467157901,664041
1,Aguascalientes,20242,2024-Q2,4720.069634168374,653142
1,Aguascalientes,20243,2024-Q3,5361.453381693725,660320
1,Aguascalientes,20244,2024-Q4,5461.381999089157,663122
1,Aguascalientes,20251,2025-Q1,5327.3227981621885,668839
2,Baja California,20101,2010-Q1,5221.650104456878,1314418
2,Baja California,20102,2010-Q2,4808.679978442671,1326695
2,Baja California,20103,2010-Q3,4978.430502053579,1301873
2,Baja California,20104,2010-Q4,4856.763100143234,1335577
2,Baja California,20111,2011-Q1,5107.447806665851,1324422
2,Baja California,20112,2011-Q2,4946.161250043356,1355057
2,Baja California,20113,2011-Q3,4839.5036817696755,1352203
2,Baja California,20114,2011-Q4,4701.1346412005305,1400448
2,Baja California,20121,2012-Q1,4867.953167146559,1362804
2,Baja California,20122,2012-Q2,4841.033468657567,1432116
2,Baja California,20123,2012-Q3,4617.292167175735,1416641
2,Baja California,20124,2012-Q4,4660.26084318098,1423775
2,Baja California,20131,2013-Q1,4685.920360550011,1417501
2,Baja California,20132,2013-Q2,4365.987632089619,1487721
2,Baja California,20133,2013-Q3,4431.988823275937,1450425
2,Baja California,20134,2013-Q4,4359.86595633254,1476019
2,Baja California,20141,2014-Q1,4303.388635443902,1448046
2,Baja California,20142,2014-Q2,4547.733674359328,1481412
2,Baja California,20143,2014-Q3,4527.321944896602,1462741
2,Baja California,20144,2014-Q4,4428.992969544266,1497058
2,Baja California,20151,2015-Q1,4557.155604464832,1498466
2,Baja California,20152,2015-Q2,4573.237553764605,1500755
2,Baja California,20153,2015-Q3,4400.420225046044,1512135
2,Baja California,20154,2015-Q4,4375.365777950909,1537687
2,Baja California,20161,2016-Q1,4749.336576773495,1531707
2,Baja California,20162,2016-Q2,4749.431157643935,1556273
2,Baja California,20163,2016-Q3,4934.612079857842,1589224
2,Baja California,20164,2016-Q4,4627.868988126949,1599252
2,Baja California,20171,2017-Q1,4762.961132259116,1569888
2,Baja California,20172,2017-Q2,4582.342458092364,1636098
2,Baja California,20173,2017-Q3,4345.352577000749,1629627
2,Baja California,20174,2017-Q4,4692.058196236009,1631566
2,Baja California,20181,2018-Q1,4954.319938106823,1648647
2,Baja California,20182,2018-Q2,5320.175928986204,1679223
2,Baja California,20183,2018-Q3,4602.190897476233,1671866
2,Baja California,20184,2018-Q4,4844.289078980131,1702808
2,Baja California,20191,2019-Q1,5271.124572366,1684852
2,Baja California,20192,2019-Q2,5186.141048810884,1714761
2,Baja California,20193,2019-Q3,5559.57771618606,1722093
2,Baja California,20194,2019-Q4,5296.097095781102,1727418
2,Baja California,20201,2020-Q1,5661.678081193579,1687966
2,Baja California,20203,2020-Q3,5166.579845401573,1609072
2,Baja California,20204,2020-Q4,5160.599371912947,1655503
2,Baja California,20211,2021-Q1,5236.061752622155,1687734
2,Baja California,20212,2021-Q2,5279.499102005286,1764487
2,Baja California,20213,2021-Q3,6055.855597901897,1761401
2,Baja California,20214,2021-Q4,5504.62663342465,1790104
2,Baja California,20221,2022-Q1,6370.89559230004,1770243
2,Baja California,20222,2022-Q2,6658.978949792493,1806443
2,Baja California,20223,2022-Q3,6383.371615007424,1782611
2,Baja California,20224,2022-Q4,5955.331466232295,1798153
2,Baja California,20231,2023-Q1,6542.686146054684,1792493
2,Baja California,20232,2023-Q2,6521.209498824968,1803781
2,Baja California,20233,2023-Q3,7014.704233039585,1811984
2,Baja California,20234,2023-Q4,6642.699133623209,1815261
2,Baja California,20241,2024-Q1,7223.9418700756105,1779789
2,Baja California,20242,2024-Q2,7320.059085349715,1794675
2,Baja California,20243,2024-Q3,8232.518455479438,1772563
2,Baja California,20244,2024-Q4,7712.529103122126,1771133
2,Baja California,20251,2025-Q1,7033.0314945166965,1761894
3,Baja California Sur,20101,2010-Q1,5739.991390277713,280613
3,Baja California Sur,20102,2010-Q2,5670.77424633048,290910
3,Baja California Sur,20103,2010-Q3,5495.294672180789,288955
3,Baja California Sur,20104,2010-Q4,5419.677700635848,290950
3,Baja California Sur,20111,2011-Q1,5636.985174086465,292326
3,Baja California Sur,20112,2011-Q2,5687.573723779157,297950
3,Baja California Sur,20113,2011-Q3,5651.751728644841,302983
3,Baja California Sur,20114,2011-Q4,6063.412608096331,323554
3,Baja California Sur,20121,2012-Q1,5874.52096149608,317630
3,Baja California Sur,20122,2012-Q2,6119.048323014063,319144
3,Baja California Sur,20123,2012-Q3,6472.23346551873,324292
3,Baja California Sur,20124,2012-Q4,6339.6082012766165,324608
3,Baja California Sur,20131,2013-Q1,5890.468327205034,324995
3,Baja California Sur,20132,2013-Q2,5889.031153010553,335088
3,Baja California Sur,20133,2013-Q3,6061.664294641109,332065
3,Baja California Sur,20134,2013-Q4,5977.928637256674,337459
3,Baja California Sur,20141,2014-Q1,6209.213241759687,342311
3,Baja California Sur,20142,2014-Q2,5994.923487913533,342325
3,Baja California Sur,20143,2014-Q3,5570.366033848159,340698
3,Baja California Sur,20144,2014-Q4,6350.644806675006,346127
3,Baja California Sur,20151,2015-Q1,6260.979175238425,352417
3,Baja California Sur,20152,2015-Q2,6276.008149795136,357555
3,Baja California Sur,20153,2015-Q3,5980.84833037147,359571
3,Baja California Sur,20154,2015-Q4,6369.685327016639,360104
3,Baja California Sur,20161,2016-Q1,6674.860632984772,358808
3,Baja California Sur,20162,2016-Q2,6423.654241037481,361645
3,Baja California Sur,20163,2016-Q3,6674.184075160246,361787
3,Baja California Sur,20164,2016-Q4,7115.609055337882,377987
3,Baja California Sur,20171,2017-Q1,6985.346734719824,377548
3,Baja California Sur,20172,2017-Q2,7203.054038603896,379599
3,Baja California Sur,20173,2017-Q3,7246.19062132717,378625
3,Baja California Sur,20174,2017-Q4,7329.774665080513,385839
3,Baja California Sur,20181,2018-Q1,7257.75734371077,390334
3,Baja California Sur,20182,2018-Q2,7430.086086432541,401608
3,Baja California Sur,20183,2018-Q3,7485.368640950509,398271
3,Baja California Sur,20184,2018-Q4,7472.00528557212,409984
3,Baja California Sur,20191,2019-Q1,7597.957856819952,415868
3,Baja California Sur,20192,2019-Q2,7627.582128186505,419935
3,Baja California Sur,20193,2019-Q3,7435.704043806764,437558
3,Baja California Sur,20194,2019-Q4,7315.392733115281,435675
3,Baja California Sur,20201,2020-Q1,7810.002125024174,434348
3,Baja California Sur,20203,2020-Q3,7153.218527207156,371281
3,Baja California Sur,20204,2020-Q4,7571.8647392439525,402541
3,Baja California Sur,20211,2021-Q1,7018.180995061993,383353
3,Baja California Sur,20212,2021-Q2,7830.4154067551035,407899
3,Baja California Sur,20213,2021-Q3,9731.122139039013,406332
3,Baja California Sur,20214,2021-Q4,10095.745660075569,417634
3,Baja California Sur,20221,2022-Q1,9035.67507593294,420766
3,Baja California Sur,20222,2022-Q2,9904.228343893506,430075
3,Baja California Sur,20223,2022-Q3,10415.670445434975,427829
3,Baja California Sur,20224,2022-Q4,9929.774726446587,431360
3,Baja California Sur,20231,2023-Q1,10592.77359392964,434900
3,Baja California Sur,20232,2023-Q2,10565.875849311346,456252
3,Baja California Sur,20233,2023-Q3,10859.71008702755,460314
3,Baja California Sur,20234,2023-Q4,10794.874449679546,459505
